epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
27,1106.88,1.63472,1.23616,0,1.51246,0.00481,2.16564,0.68364,0.62381,0.66759,0.40181,0.57837,0.52162,0.51036,0.45933,1.44842,1.59449,0,1.55243,0.00661,0,0.000412886,0.000412886,0.000412886
28,1147.56,1.609,1.19273,0,1.46756,0.00459,2.0159,0.71414,0.6388,0.71239,0.44123,0.62235,0.55491,0.57186,0.51985,1.40172,1.35371,0,1.44799,0.00631,0,0.000407381,0.000407381,0.000407381
29,1188.22,1.5916,1.1605,0,1.40501,0.00465,1.97025,0.70574,0.63444,0.70492,0.43631,0.59571,0.54621,0.55558,0.5066,1.45314,1.38339,0,1.44411,0.00653,0,0.000401877,0.000401877,0.000401877
30,1228.91,1.61477,1.19638,0,1.44816,0.00461,2.02252,0.71846,0.65666,0.72541,0.4495,0.62985,0.56139,0.57703,0.52849,1.41303,1.34961,0,1.42463,0.00643,0,0.000396372,0.000396372,0.000396372
31,1269.49,1.58525,1.17611,0,1.39768,0.00449,1.93281,0.68483,0.61354,0.67903,0.41679,0.56642,0.50073,0.50907,0.45912,1.43617,1.51129,0,1.49761,0.00666,0,0.000390868,0.000390868,0.000390868
32,1310.21,1.58592,1.21195,0,1.38135,0.00469,1.99484,0.73266,0.64576,0.72772,0.45865,0.62317,0.55001,0.56606,0.51403,1.37932,1.38449,0,1.37754,0.00622,0,0.000385364,0.000385364,0.000385364
33,1350.81,1.5888,1.16396,0,1.37163,0.00457,1.86286,0.72687,0.66957,0.7328,0.45795,0.61627,0.55978,0.55415,0.50661,1.38732,1.38189,0,1.3451,0.00636,0,0.000379859,0.000379859,0.000379859
34,1391.3,1.5705,1.15303,0,1.34777,0.00453,1.80254,0.76695,0.64534,0.73317,0.45649,0.66517,0.56284,0.57951,0.52538,1.38758,1.40432,0,1.37227,0.00634,0,0.000374355,0.000374355,0.000374355
35,1431.63,1.54419,1.13717,0,1.31549,0.0046,1.78502,0.78204,0.67302,0.76426,0.47458,0.71407,0.58492,0.62389,0.56905,1.42778,1.31725,0,1.27214,0.0064,0,0.00036885,0.00036885,0.00036885
36,1472.21,1.57083,1.17974,0,1.33453,0.00451,1.81695,0.79413,0.66853,0.76085,0.47735,0.70156,0.5742,0.60165,0.54696,1.39312,1.38085,0,1.2672,0.0065,0,0.000363346,0.000363346,0.000363346
37,1512.94,1.54375,1.12208,0,1.2633,0.00443,1.72506,0.79138,0.66272,0.76417,0.48096,0.68464,0.56969,0.59541,0.53997,1.39399,1.37707,0,1.25204,0.00626,0,0.000357842,0.000357842,0.000357842
38,1553.53,1.55331,1.15162,0,1.27965,0.00445,1.73152,0.76728,0.65786,0.74899,0.46625,0.62741,0.5336,0.5471,0.50257,1.38934,1.52751,0,1.26667,0.00642,0,0.000352337,0.000352337,0.000352337
39,1594.2,1.5478,1.13319,0,1.24989,0.00454,1.66786,0.76784,0.66183,0.75373,0.47842,0.68558,0.55448,0.58809,0.53151,1.38284,1.4563,0,1.27075,0.0063,0,0.000346833,0.000346833,0.000346833
40,1634.8,1.5343,1.13799,0,1.23132,0.00451,1.65936,0.81901,0.69649,0.78824,0.4968,0.72558,0.60433,0.63916,0.58521,1.4033,1.31054,0,1.21949,0.00626,0,0.000341328,0.000341328,0.000341328
41,1675.36,1.53035,1.08525,0,1.22284,0.00443,1.52903,0.80656,0.67705,0.77784,0.49001,0.67659,0.56359,0.5878,0.53487,1.37765,1.48143,0,1.23934,0.00628,0,0.000335824,0.000335824,0.000335824
42,1716.02,1.52571,1.15369,0,1.20479,0.0044,1.63902,0.77339,0.68619,0.76453,0.48081,0.69415,0.61027,0.63597,0.58158,1.36846,1.30626,0,1.26662,0.00627,0,0.00033032,0.00033032,0.00033032
43,1756.52,1.50716,1.09364,0,1.21708,0.00434,1.49324,0.80014,0.69228,0.78344,0.50835,0.70814,0.60811,0.63847,0.58129,1.35198,1.3339,0,1.20798,0.00615,0,0.000324815,0.000324815,0.000324815
44,1796.98,1.52344,1.14935,0,1.19545,0.00441,1.63045,0.80845,0.67418,0.77096,0.47897,0.70315,0.57614,0.6029,0.54554,1.39267,1.44943,0,1.255,0.00631,0,0.000319311,0.000319311,0.000319311
45,1837.46,1.51662,1.08411,0,1.19693,0.0044,1.43412,0.77323,0.70201,0.7757,0.49739,0.70662,0.57567,0.62035,0.56071,1.34538,1.39666,0,1.19133,0.00619,0,0.000313806,0.000313806,0.000313806
46,1877.77,1.50302,1.09281,0,1.18189,0.00419,1.39328,0.81194,0.70739,0.79229,0.50503,0.71031,0.58834,0.62063,0.56502,1.35696,1.37273,0,1.15539,0.00621,0,0.000308302,0.000308302,0.000308302
47,1918.24,1.51203,1.10821,0,1.16322,0.0043,1.49661,0.81176,0.68947,0.78738,0.50373,0.69388,0.58141,0.61446,0.5595,1.35042,1.33753,0,1.18412,0.0062,0,0.000302798,0.000302798,0.000302798
48,1958.7,1.50231,1.08723,0,1.15224,0.00431,1.39316,0.82966,0.68593,0.79153,0.50705,0.73727,0.59431,0.64318,0.58659,1.36746,1.31277,0,1.17289,0.00617,0,0.000297293,0.000297293,0.000297293
49,1999.16,1.49481,1.07657,0,1.14378,0.00434,1.40219,0.81763,0.69326,0.79253,0.50794,0.73856,0.61321,0.66152,0.60371,1.35012,1.24462,0,1.14536,0.00616,0,0.000291789,0.000291789,0.000291789
50,2039.83,1.49398,1.07629,0,1.12111,0.00419,1.38961,0.832,0.71176,0.80213,0.51534,0.7274,0.61151,0.64254,0.58755,1.35184,1.31381,0,1.10333,0.00617,0,0.000286284,0.000286284,0.000286284
51,2080.54,1.50025,1.09989,0,1.14556,0.00418,1.40811,0.82023,0.70254,0.78922,0.50403,0.69564,0.59333,0.61116,0.55183,1.34109,1.43352,0,1.14194,0.00606,0,0.00028078,0.00028078,0.00028078
52,2121.12,1.49664,1.10488,0,1.14497,0.00421,1.39979,0.80576,0.7084,0.79925,0.51305,0.71192,0.6265,0.64614,0.5891,1.34234,1.30055,0,1.11104,0.00611,0,0.000275276,0.000275276,0.000275276
53,2161.62,1.48346,1.07989,0,1.11515,0.00428,1.40327,0.83277,0.66179,0.77486,0.49559,0.71184,0.57726,0.6108,0.55454,1.35001,1.49491,0,1.16935,0.00623,0,0.000269771,0.000269771,0.000269771
54,2202.12,1.48875,1.06331,0,1.10895,0.00414,1.31868,0.84317,0.7126,0.80823,0.52176,0.71863,0.59475,0.61773,0.56441,1.3417,1.35185,0,1.08188,0.00604,0,0.000264267,0.000264267,0.000264267
55,2242.78,1.47312,1.03774,0,1.09528,0.00422,1.2541,0.82429,0.69839,0.79538,0.50808,0.69172,0.57962,0.60141,0.54318,1.33809,1.44481,0,1.12667,0.00614,0,0.000258762,0.000258762,0.000258762
56,2283.33,1.46183,1.06605,0,1.06269,0.00423,1.27106,0.81307,0.71312,0.80066,0.51508,0.69248,0.59695,0.61369,0.55821,1.33712,1.39249,0,1.09191,0.00602,0,0.000253258,0.000253258,0.000253258
